"","gene","O20_384Bulk_Plate2_S356.gencode.vM19","P11_384Bulk_Plate2_S371.gencode.vM19","K9_384Bulk_Plate2_S249.gencode.vM19","I13_384Bulk_Plate2_S205.gencode.vM19","F11_384Bulk_Plate1_S131.gencode.vM19","G3_384Bulk_Plate1_S147.gencode.vM19","G8_384Bulk_Plate2_S152.gencode.vM19","C19_384Bulk_Plate2_S67.gencode.vM19"
"493","1700080N15Rik",2,1,7,10,6,4,4,0
"494","1700080O16Rik",0,1,0,10,1,0,3,1
"495","1700081B01Rik",3,0,4,4,2,5,6,6
"496","1700081H04Rik",0,0,0,4,3,2,2,0
"497","1700081N11Rik",11,20,6,3,4,23,15,13
"498","1700082M22Rik",3,3,3,18,10,12,5,4
"499","1700083H02Rik",4,0,2,4,20,6,2,0
"500","1700084C06Rik",0,0,1,0,3,0,2,1
"501","1700084D21Rik",0,2,0,1,1,3,0,0
"502","1700084E18Rik",17,11,2,18,2,16,14,11
"503","1700084F23Rik",4,6,7,8,16,11,8,3
"504","1700084J12Rik",7,12,14,13,32,15,24,0
"505","1700084M14Rik",0,3,0,2,1,7,1,0
"506","1700085C21Rik",0,2,7,3,5,15,4,8
"507","1700085D07Rik",19,3,7,14,6,7,8,5
"508","1700086D15Rik",4,1,0,1,0,2,7,0
"509","1700086L19Rik",0,1,1,9,18,4,4,0
"510","1700086O06Rik",21,20,20,27,15,20,13,19
"511","1700086P04Rik",3,2,2,7,2,4,2,4
"512","1700087M22Rik",1,0,1,5,6,1,3,1
"513","1700088E04Rik",11,11,7,12,23,8,6,1
"514","1700091H14Rik",3,0,3,3,7,9,0,1
"515","1700092C02Rik",5,2,2,0,0,1,6,2
"516","1700092C10Rik",0,0,1,3,4,6,1,0
"517","1700092C17Rik",1,3,2,4,5,1,0,0
"518","1700092E16Rik",0,2,0,1,1,7,1,1
"519","1700092E19Rik",4,4,9,14,12,22,8,0
"520","1700092K14Rik",0,2,0,0,5,0,0,2
"521","1700092M07Rik",4,0,0,0,0,0,1,1
"522","1700093K21Rik",2,1,3,4,10,5,3,2
"523","1700094J05Rik",0,2,0,4,5,2,0,1
"524","1700094M23Rik",0,3,4,8,4,15,2,1
"525","1700094M24Rik",4,4,2,1,1,3,4,0
"526","1700095A13Rik",1,8,0,0,5,5,0,0
"527","1700095A21Rik",14,12,18,11,32,17,11,6
"528","1700095B10Rik",6,2,5,7,4,8,0,1
"529","1700095J03Rik",2,1,7,4,9,9,10,0
"530","1700095J07Rik",10,2,3,0,10,0,1,4
"531","1700095J12Rik",1,0,0,0,1,0,3,0
"532","1700095K22Rik",6,0,1,4,7,4,3,2
"533","1700096J18Rik",4,0,0,0,0,0,0,0
"534","1700096K18Rik",31,45,36,36,54,17,37,24
"535","1700097M23Rik",0,0,1,0,0,4,3,0
"536","1700097N02Rik",0,0,0,0,0,0,3,3
"537","1700099I09Rik",0,0,1,0,2,3,2,3
"538","1700100I10Rik",9,8,3,3,1,9,1,0
"539","1700100L14Rik",0,3,2,0,4,4,1,0
"540","1700101I11Rik",12,3,9,21,16,1,12,8
"541","1700101I19Rik",0,0,2,0,0,0,0,0
"542","1700101O22Rik",3,0,3,1,1,11,1,1
"543","1700102F20Rik",2,0,3,3,20,3,3,0
"544","1700102P08Rik",19,6,13,5,16,8,17,8
"545","1700104B16Rik",0,0,1,0,0,1,0,0
"546","1700104L18Rik",7,1,1,4,8,6,0,0
"547","1700105G05Rik",2,0,0,0,5,2,1,0
"548","1700105P06Rik",1,7,9,3,3,12,12,4
"549","1700108F19Rik",0,5,0,1,17,4,3,0
"550","1700108J01Rik",2,0,0,1,3,1,0,1
"551","1700108N06Rik",0,1,5,3,4,2,3,0
"552","1700108N11Rik",0,0,0,0,3,0,0,0
"553","1700109G14Rik",8,2,7,3,6,4,3,6
"554","1700109G15Rik",1,2,4,3,0,3,2,0
"555","1700109H08Rik",15,23,32,26,44,61,35,30
"556","1700109I08Rik",2,0,3,6,4,6,7,0
"557","1700109K24Rik",28,15,13,19,33,26,12,8
"558","1700110C19Rik",2,12,1,0,3,1,6,3
"559","1700110I01Rik",3,1,1,2,1,0,0,0
"560","1700110I07Rik",7,6,9,8,0,9,13,5
"561","1700110K17Rik",2,0,3,0,0,0,0,0
"562","1700111E14Rik",11,2,0,0,9,6,1,0
"563","1700111N16Rik",13,6,5,7,9,4,3,0
"564","1700112D23Rik",5,0,4,3,0,10,1,0
"565","1700112H15Rik",6,10,3,0,1,6,1,2
"566","1700112J05Rik",2,0,5,2,5,0,0,0
"567","1700112J16Rik",6,3,6,1,11,9,11,6
"568","1700112K13Rik",9,0,4,0,8,5,1,0
"569","1700112L15Rik",0,0,0,1,0,0,3,0
"570","1700112M02Rik",1,3,0,0,7,2,1,0
"571","1700113A16Rik",7,0,4,2,10,8,4,6
"572","1700113B09Rik",0,0,0,1,2,2,1,0
"573","1700113B19Rik",0,7,2,0,2,1,6,0
"574","1700113H08Rik",11,11,1,12,25,15,14,2
"575","1700116B05Rik",5,1,2,1,2,8,0,0
"576","1700119H24Rik",6,1,1,1,4,10,1,5
"577","1700119I11Rik",36,21,29,26,14,21,10,17
"578","1700120B22Rik",1,0,0,0,0,0,0,1
"579","1700120C14Rik",76,36,31,54,49,45,17,31
"580","1700120C18Rik",3,4,0,1,5,2,6,0
"581","1700120E14Rik",0,0,2,0,0,3,1,0
"582","1700120G07Rik",3,4,7,1,2,2,4,1
"583","1700120G11Rik",0,0,3,2,1,11,0,0
"584","1700120K04Rik",0,0,0,0,0,0,0,0
"585","1700120O09Rik",10,13,2,6,10,16,2,0
"586","1700121C08Rik",0,3,1,0,0,2,0,0
"587","1700121L03Rik",13,0,0,0,5,8,3,1
"588","1700121L16Rik",1,1,0,1,3,2,0,0
"589","1700121N20Rik",0,0,0,3,2,2,3,0
"590","1700122D07Rik",1,0,0,0,0,3,0,0
"591","1700122E12Rik",2,3,6,0,1,1,0,0
"592","1700122H20Rik",7,3,1,4,1,1,2,0
"593","1700122O11Rik",0,0,0,0,0,0,0,0
"594","1700123J17Rik",6,2,2,1,7,8,8,2
"595","1700123K08Rik",3,1,1,0,0,5,2,1
"596","1700123L14Rik",3,3,2,4,3,9,3,0
"597","1700123M08Rik",35,16,18,44,41,22,26,18
"598","1700123O12Rik",8,7,1,10,16,12,2,0
"599","1700123O20Rik",127,125,88,125,129,103,111,80
"600","1700123O21Rik",0,4,2,0,5,7,3,3
"601","1700124L16Rik",0,0,0,1,1,7,0,0
"602","1700124M09Rik",6,0,4,0,3,4,1,5
"603","1700125G02Rik",0,0,0,0,0,0,0,0
"604","1700125G22Rik",0,0,1,0,1,1,0,0
"605","1700125H03Rik",0,4,5,0,5,18,1,1
"606","1700125H20Rik",1,0,3,3,7,6,2,0
"607","1700126A01Rik",19,2,0,4,7,7,5,2
"608","1700126G02Rik",0,0,4,3,8,4,10,0
"609","1700126H18Rik",0,1,0,1,2,3,6,0
"610","1700127F24Rik",0,2,0,3,1,0,0,0
"611","1700128A07Rik",0,0,3,4,0,1,2,0
"612","1700128E19Rik",1,2,1,0,3,14,2,1
"613","1700128F08Rik",4,13,11,7,15,1,1,5
"614","1700128I11Rik",0,0,0,3,0,5,1,1
"615","1700129C05Rik",0,3,0,4,4,2,8,6
"616","1700129L04Rik",8,5,6,15,15,8,14,0
"617","1810006J02Rik",16,6,15,7,18,12,18,3
"618","1810007C17Rik",0,0,13,3,4,1,2,1
"619","1810007D17Rik",1,0,0,0,3,0,1,1
"620","1810008B01Rik",0,5,3,3,1,0,11,0
"621","1810008I18Rik",11,4,6,3,5,6,10,0
"622","1810009A15Rik",31,25,22,22,24,6,19,29
"623","1810009J06Rik",4,2,8,2,3,0,4,1
"624","1810010D01Rik",2,3,0,5,5,3,2,1
"625","1810010H24Rik",19,40,29,21,26,28,17,32
"626","1810010K12Rik",2,0,6,1,7,0,9,0
"627","1810012K08Rik",0,1,7,6,1,2,0,5
"628","1810012K16Rik",1,2,2,0,1,3,0,2
"629","1810013D15Rik",12,12,1,10,6,18,11,5
"630","1810013L24Rik",640,416,478,634,585,421,542,487
"631","1810014B01Rik",210,108,114,186,135,113,164,122
"632","1810017P11Rik",2,0,0,0,2,0,0,0
"633","1810018F18Rik",0,5,9,20,17,25,15,2
"634","1810019D21Rik",2,5,3,2,13,1,7,2
"635","1810019N24Rik",7,0,1,2,5,1,0,1
"636","1810020O05Rik",1,2,0,2,0,0,0,0
"637","1810021B22Rik",25,39,36,45,47,29,30,29
"638","1810022K09Rik",105,122,99,139,122,75,107,74
"639","1810024B03Rik",3,7,11,16,4,12,15,8
"640","1810026B05Rik",240,176,204,201,199,156,224,131
"641","1810028F09Rik",10,3,1,3,6,1,6,0
"642","1810030O07Rik",376,322,310,403,339,258,343,181
"643","1810032O08Rik",23,7,11,34,20,31,11,23
"644","1810034E14Rik",103,108,99,121,84,110,56,65
"645","1810037I17Rik",215,225,158,235,192,154,200,176
"646","1810041H14Rik",12,7,17,3,14,15,6,0
"647","1810043G02Rik",263,231,174,202,173,161,216,138
"648","1810044D09Rik",8,7,13,4,6,2,6,11
"649","1810046K07Rik",12,16,9,4,17,13,11,0
"650","1810049I09Rik",0,0,0,0,3,0,0,0
"651","1810049J17Rik",1,0,0,3,0,1,2,4
"652","1810053B23Rik",8,9,10,15,16,15,10,0
"653","1810055G02Rik",114,143,76,99,89,100,91,102
"654","1810058I24Rik",679,608,400,532,510,355,506,410
"655","1810059C17Rik",6,0,3,1,11,2,4,0
"656","1810059H22Rik",12,24,27,13,33,23,10,14
"657","1810062G17Rik",1,3,10,1,13,13,4,0
"658","1810062O18Rik",10,8,10,11,15,13,13,2
"659","1810063I02Rik",17,0,0,0,0,0,0,0
"660","1810064F22Rik",6,9,4,1,0,7,6,1
"661","1810065E05Rik",5,1,9,6,5,5,4,0
"662","2010001A14Rik",11,18,7,17,8,1,14,7
"663","2010001K21Rik",40,47,24,34,23,46,16,13
"664","2010001M07Rik",0,0,0,1,0,0,0,0
"665","2010003K11Rik",1,2,1,0,3,0,1,2
"666","2010005H15Rik",9,5,3,8,3,15,2,2
"667","2010007H06Rik",31,38,65,64,56,50,51,20
"668","2010008C14Rik",1,0,4,2,0,4,5,10
"669","2010009K17Rik",3,5,0,2,2,0,3,0
"670","2010010A06Rik",5,6,9,2,4,7,0,0
"671","2010013B24Rik",0,1,2,1,1,7,1,2
"672","2010015M23Rik",0,0,0,0,0,0,0,0
"673","2010016I18Rik",7,1,7,11,12,9,17,8
"674","2010103J01Rik",0,1,6,7,3,1,0,0
"675","2010106C02Rik",2,1,1,0,4,13,1,0
"676","2010106E10Rik",1,2,12,2,5,6,1,2
"677","2010109A12Rik",12,7,6,15,14,8,16,1
"678","2010109I03Rik",2,2,2,3,0,16,5,3
"679","2010109P13Rik",0,0,0,0,9,1,0,0
"680","2010110E17Rik",5,0,0,0,0,2,0,0
"681","2010110G14Rik",0,0,2,0,1,3,0,0
"682","2010110K18Rik",6,2,1,1,6,13,1,0
"683","2010111I01Rik",945,1119,891,1119,1148,930,1120,940
"684","2010203P06Rik",4,0,0,2,5,5,4,0
"685","2010204K13Rik",0,2,4,2,7,15,2,3
"686","2010300C02Rik",40,15,12,8,66,27,35,29
"687","2010300F17Rik",7,2,1,7,4,2,2,0
"688","2010308F09Rik",0,7,1,0,1,2,0,0
"689","2010309G21Rik",1,0,4,0,2,0,2,0
"690","2010310C07Rik",2,0,4,6,3,13,3,6
"691","2010315B03Rik",24,20,29,25,13,30,21,17
"692","2010320M18Rik",0,0,0,0,0,0,0,0
"693","2010320O07Rik",1,6,5,5,7,4,11,0
"694","2200002A13Rik",2,0,0,1,0,0,0,0
"695","2200002D01Rik",26,17,16,13,15,17,22,6
"696","2200002J24Rik",0,0,0,0,5,2,1,1
"697","2200007N16Rik",1,0,0,0,4,1,0,0
"698","2210008F06Rik",0,0,0,0,0,2,0,0
"699","2210010C04Rik",5,5,7,12,34,8,15,14
"700","2210011C24Rik",36,46,17,37,23,15,21,14
"701","2210011K15Rik",1,0,0,6,0,1,5,2
"702","2210016F16Rik",387,450,335,371,265,229,371,202
"703","2210016L21Rik",150,160,114,196,161,90,116,120
"704","2210017I01Rik",1,7,1,4,7,6,4,0
"705","2210039B01Rik",2,6,2,3,2,5,1,2
"706","2210404E10Rik",3,0,0,3,2,2,1,0
"707","2210406H18Rik",10,14,13,13,18,13,23,11
"708","2210406O10Rik",0,1,3,7,8,12,2,6
"709","2210407C18Rik",29,33,22,32,33,40,14,10
"710","2210408F21Rik",213,197,128,206,121,138,122,111
"711","2210408I21Rik",70,69,74,64,96,66,54,51
"712","2210409E12Rik",0,0,0,0,0,0,1,0
"713","2210411M09Rik",0,0,0,0,1,0,1,0
"714","2210412B16Rik",6,4,2,8,6,4,3,0
"715","2210414B05Rik",0,2,1,1,5,11,2,1
"716","2210414F02Rik",0,0,0,1,0,2,1,0
"717","2210417A02Rik",0,0,0,0,1,5,0,1
"718","2210418O10Rik",2,0,1,1,1,1,0,2
"719","2210420H20Rik",2,0,2,0,0,2,0,0
"720","2300002M23Rik",1,0,0,2,4,2,0,0
"721","2300003K06Rik",4,1,1,3,1,2,2,0
"722","2300009A05Rik",112,123,122,98,106,80,78,70
"723","2310001H17Rik",55,40,50,50,52,61,59,10
"724","2310001K20Rik",3,0,6,4,7,8,2,2
"725","2310001K24Rik",42,21,16,29,27,17,14,8
"726","2310002D06Rik",1,2,3,0,4,1,6,0
"727","2310002F09Rik",8,2,3,13,16,18,17,8
"728","2310002L09Rik",758,544,557,691,917,449,981,596
"729","2310003L06Rik",2,4,28,5,17,17,9,0
"730","2310003N18Rik",0,0,0,0,0,0,0,0
"731","2310005A03Rik",0,0,2,0,0,4,0,0
"732","2310005E17Rik",0,0,0,3,1,2,1,0
"733","2310007B03Rik",1,0,0,0,10,6,0,0
"734","2310008N11Rik",1,4,3,5,7,2,1,1
"735","2310009A05Rik",56,45,45,38,39,42,46,16
"736","2310009B15Rik",30,46,41,34,33,28,41,40
"737","2310010J17Rik",28,15,18,41,22,16,20,13
"738","2310011J03Rik",193,207,118,178,198,152,184,138
"739","2310014F06Rik",12,35,24,28,23,58,35,6
"740","2310015A10Rik",55,68,68,89,69,79,53,37
"741","2310015D24Rik",11,36,21,23,22,28,24,20
"742","2310015K22Rik",8,9,19,12,6,21,5,3
"743","2310016D03Rik",10,13,14,17,48,12,28,11
"744","2310016D23Rik",2,4,0,4,7,3,4,2
"745","2310016G11Rik",52,66,37,81,46,40,62,45
"746","2310020H05Rik",26,48,28,40,21,24,26,19
"747","2310022A10Rik",725,911,703,948,707,562,692,609
"748","2310022B05Rik",1174,1031,920,1230,858,892,992,692
"749","2310026I22Rik",0,1,3,7,5,4,7,1
"750","2310026L22Rik",0,2,2,4,1,3,5,2
"751","2310030A07Rik",7,2,8,1,5,4,7,0
"752","2310030G06Rik",26,36,20,22,25,22,27,33
"753","2310031A07Rik",1,2,0,0,4,9,8,0
"754","2310033P09Rik",50,68,50,49,64,47,66,37
"755","2310034C09Rik",0,2,7,5,1,10,5,1
"756","2310034G01Rik",23,10,5,18,5,6,9,12
"757","2310034O05Rik",5,2,1,9,0,7,8,0
"758","2310039H08Rik",104,100,65,75,98,67,74,94
"759","2310039L15Rik",96,63,77,86,101,63,50,39
"760","2310040G07Rik",84,87,84,101,76,55,56,60
"761","2310040G24Rik",132,99,87,113,96,56,52,54
"762","2310043L19Rik",0,0,1,0,2,3,3,0
"763","2310043M15Rik",2,5,3,14,6,3,2,3
"764","2310043O21Rik",0,2,0,0,1,3,0,0
"765","2310043P16Rik",2,7,14,9,20,14,14,4
"766","2310044K18Rik",0,4,4,0,8,1,0,0
"767","2310046K23Rik",6,0,0,2,0,4,5,0
"768","2310047D07Rik",1,2,1,2,0,1,0,2
"769","2310050C09Rik",3,0,2,3,4,2,2,1
"770","2310057J18Rik",8,4,16,5,13,19,10,10
"771","2310057M21Rik",169,194,157,204,181,168,159,111
"772","2310057N15Rik",4,2,1,3,0,0,1,2
"773","2310058D17Rik",9,6,2,19,11,20,8,14
"774","2310061I04Rik",1069,1200,963,1130,736,763,673,484
"775","2310061N02Rik",0,0,2,0,4,3,5,0
"776","2310065F04Rik",7,7,4,1,5,3,4,0
"777","2310067P03Rik",0,5,16,1,11,3,1,3
"778","2310068J16Rik",7,3,11,15,11,5,3,3
"779","2310069B03Rik",9,7,14,9,29,6,21,11
"780","2310074N15Rik",0,0,1,0,0,1,0,1
"781","2310075C17Rik",2,2,2,1,6,6,1,1
"782","2310079G19Rik",0,9,2,11,8,9,2,0
"783","2310081O03Rik",1,1,3,0,1,0,7,0
"784","2400006E01Rik",0,9,6,10,9,10,10,0
"785","2410002F23Rik",168,162,262,237,251,202,221,172
"786","2410003L11Rik",0,0,2,0,6,10,2,0
"787","2410004B18Rik",191,189,139,215,156,135,155,138
"788","2410004I01Rik",1,0,2,4,3,3,7,0
"789","2410004P03Rik",11,6,6,7,9,4,5,2
"790","2410006H16Rik",36,21,5,22,16,20,21,21
"791","2410012E07Rik",0,0,0,3,3,1,10,1
"792","2410015M20Rik",555,709,490,678,606,329,565,450
"793","2410017I17Rik",9,0,4,1,5,5,10,0
"794","2410018L13Rik",6,20,20,19,28,21,17,14
"795","2410021H03Rik",3,10,6,0,6,15,5,0
"796","2410022M11Rik",71,95,18,99,66,56,68,41
"797","2410024N13Rik",4,5,0,2,1,1,1,0
"798","2410080I02Rik",5,0,7,1,1,5,0,6
"799","2410124H12Rik",4,4,0,2,2,5,2,1
"800","2410131K14Rik",163,224,172,212,195,161,132,120
"801","2410137M14Rik",2,0,8,11,14,8,6,4
"802","2410141K09Rik",1,3,9,15,12,13,8,5
"803","2410152P15Rik",0,0,0,0,0,0,0,0
"804","2500002B13Rik",39,32,6,24,33,19,20,14
"805","2500004C02Rik",36,47,37,51,62,40,39,27
"806","2510002D24Rik",230,322,222,287,232,189,253,179
"807","2510009E07Rik",559,551,422,529,454,515,513,307
"808","2510016D11Rik",5,2,0,2,2,4,2,4
"809","2510017J16Rik",17,9,4,6,8,11,10,4
"810","2510039O18Rik",589,493,470,635,436,317,528,417
"811","2510046G10Rik",12,9,6,11,9,18,13,8
"812","2600006K01Rik",0,1,0,1,5,3,2,0
"813","2600014E21Rik",27,18,15,19,55,29,47,3
"814","2610001A08Rik",10,6,8,1,8,9,10,4
"815","2610001J05Rik",399,379,271,381,304,319,318,214
"816","2610002M06Rik",96,92,81,86,109,83,84,60
"817","2610005L07Rik",86,105,90,102,77,97,94,49
"818","2610008E11Rik",237,240,238,285,202,300,268,141
"819","2610011E03Rik",0,0,0,0,0,0,0,0
"820","2610012C04Rik",7,1,0,2,15,10,2,1
"821","2610016A17Rik",0,2,1,0,1,3,0,0
"822","2610017A05Rik",11,4,10,8,16,7,4,7
"823","2610020C07Rik",17,13,7,9,20,6,4,13
"824","2610020F03Rik",0,0,1,1,2,2,0,0
"825","2610021A01Rik",111,114,132,149,111,141,110,77
"826","2610024D14Rik",12,4,8,6,4,15,4,7
"827","2610027F03Rik",4,1,3,1,13,5,5,0
"828","2610027K06Rik",6,6,4,17,15,27,1,10
"829","2610028D06Rik",6,4,13,6,11,14,1,0
"830","2610028E06Rik",2,7,11,6,17,18,13,3
"831","2610028H24Rik",11,23,8,19,29,5,39,18
"832","2610034O05Rik",1,0,1,0,0,0,0,0
"833","2610035D17Rik",127,106,68,70,110,58,86,38
"834","2610035F20Rik",0,1,0,0,14,0,0,0
"835","2610037D02Rik",24,23,36,28,33,50,36,17
"836","2610042L04Rik",10,2,6,6,9,16,7,0
"837","2610044O15Rik8",215,192,201,213,167,180,207,125
"838","2610105M22Rik",0,1,3,0,0,3,2,0
"839","2610203C22Rik",44,23,40,47,46,46,42,19
"840","2610204G07Rik",9,7,7,11,9,23,2,0
"841","2610206C17Rik",6,6,5,12,13,17,11,0
"842","2610300A13Rik",0,0,0,0,3,2,3,0
"843","2610300M13Rik",2,5,6,4,0,11,3,2
"844","2610301B20Rik",168,107,133,123,113,78,96,72
"845","2610303G11Rik",1,1,0,0,1,2,4,0
"846","2610306M01Rik",38,47,31,38,62,35,31,22
"847","2610306O10Rik",21,16,18,8,15,17,5,10
"848","2610307P16Rik",34,21,25,22,26,49,37,17
"849","2610316D01Rik",9,5,21,17,19,5,7,7
"850","2610318M16Rik",0,0,0,0,0,0,1,0
"851","2610318N02Rik",2,1,4,2,1,5,7,3
"852","2610507B11Rik",2001,1877,1650,2045,2039,1725,2154,1465
"853","2610507I01Rik",142,51,111,113,94,79,96,54
"854","2610509F24Rik",0,0,0,7,5,2,2,0
"855","2610524H06Rik",12,9,8,14,12,7,9,6
"856","2610528A11Rik",0,2,12,4,11,23,4,1
"857","2610528J11Rik",1,0,0,0,1,0,5,0
"858","2700012I20Rik",0,0,7,0,1,2,4,5
"859","2700016F22Rik",1,2,7,4,4,14,3,0
"860","2700029L08Rik",18,1,1,2,0,5,0,4
"861","2700033N17Rik",6,1,3,6,0,0,0,1
"862","2700038G22Rik",5,16,8,19,18,9,8,4
"863","2700046A07Rik",4,14,0,4,6,7,5,1
"864","2700046G09Rik",31,26,21,26,23,9,24,6
"865","2700049A03Rik",110,69,105,133,98,117,123,70
"866","2700062C07Rik",36,54,48,52,60,28,55,40
"867","2700068H02Rik",5,0,5,0,23,12,8,0
"868","2700069I18Rik",3,1,12,9,7,12,6,0
"869","2700078F05Rik",10,8,16,24,27,24,13,3
"870","2700080J24Rik",0,1,0,4,3,1,1,0
"871","2700081O15Rik",161,102,107,172,102,140,97,106
"872","2700089I24Rik",0,5,6,2,7,9,1,4
"873","2700097O09Rik",194,211,134,192,162,147,151,91
"874","2700099C18Rik",20,14,25,22,37,32,21,6
"875","2810001G20Rik",54,42,20,29,36,28,45,25
"876","2810002D19Rik",63,75,90,109,64,81,71,48
"877","2810004N23Rik",605,594,440,757,423,396,411,276
"878","2810006K23Rik",118,132,116,155,111,103,98,69
"879","2810013P06Rik",122,114,110,198,110,125,100,92
"880","2810021J22Rik",44,39,53,53,77,57,68,19
"881","2810025M15Rik",148,145,127,145,134,114,147,90
"882","2810029C07Rik",5,0,6,9,12,7,10,5
"883","2810030D12Rik",0,0,0,0,3,2,0,0
"884","2810032G03Rik",13,4,4,2,11,6,7,1
"885","2810039B14Rik",9,19,30,12,31,35,41,20
"886","2810047C21Rik1",2,1,8,2,3,3,4,0
"887","2810049E08Rik",2,4,2,6,6,8,4,3
"888","2810402E24Rik",31,41,16,55,41,40,28,19
"889","2810403D21Rik",49,33,33,42,35,30,35,8
"890","2810403G07Rik",0,0,5,1,0,15,2,2
"891","2810404F17Rik",4,5,10,1,7,10,2,0
"892","2810404M03Rik",1,3,0,2,3,3,4,4
"893","2810405F15Rik",0,0,0,4,0,2,4,0
"894","2810405F17Rik",9,6,3,9,8,6,10,13
"895","2810407A14Rik",17,5,9,5,21,22,2,1
"896","2810408A11Rik",4,7,15,12,15,2,11,1
"897","2810408I11Rik",6,9,7,3,7,5,6,0
"898","2810410L24Rik",6,22,3,18,35,9,28,14
"899","2810414N06Rik",29,29,21,22,27,13,35,16
"900","2810425M01Rik",0,2,0,0,0,3,2,2
"901","2810428J06Rik",11,12,16,6,6,17,7,6
"902","2810429I04Rik",3,8,19,15,32,33,19,6
"903","2810430I11Rik",2,4,6,17,14,10,3,8
"904","2810432F15Rik",0,0,0,0,0,0,0,0
"905","2810433D01Rik",6,2,1,3,4,3,5,0
"906","2810442N19Rik",1,3,6,8,20,8,3,2
"907","2810454H06Rik",10,24,19,33,19,16,5,7
"908","2810455O05Rik",0,0,0,2,6,1,4,0
"909","2810457G06Rik",0,2,0,0,3,0,1,2
"910","2810459M11Rik",13,0,6,2,7,8,8,1
"911","2810468N07Rik",17,27,13,20,4,12,27,11
"912","2810471M01Rik",4,3,7,16,10,18,8,0
"913","2900002M20Rik",0,0,6,1,1,3,1,0
"914","2900005J15Rik",17,16,25,44,18,34,24,12
"915","2900009J06Rik",1,7,3,3,6,7,4,12
"916","2900011O08Rik",12,3,15,15,16,8,11,1
"917","2900018N21Rik",13,6,11,5,1,2,5,8
"918","2900022M07Rik",4,0,5,0,4,8,9,0
"919","2900024D18Rik",0,0,0,0,1,2,8,0
"920","2900026A02Rik",576,444,471,689,493,510,605,372
"921","2900027M19Rik",1,1,28,11,29,8,9,2
"922","2900035J10Rik",7,0,3,4,0,4,2,2
"923","2900037B21Rik",5,0,0,0,1,0,0,0
"924","2900040C04Rik",0,0,0,0,5,2,0,0
"925","2900041M22Rik",3,8,8,5,13,3,6,6
"926","2900042G08Rik",0,0,9,5,10,6,3,1
"927","2900042K21Rik",1,0,0,5,1,3,5,3
"928","2900045O20Rik",3,2,8,5,2,3,8,0
"929","2900052L18Rik",33,49,29,34,30,38,25,19
"930","2900052N01Rik",6,14,7,19,10,10,43,7
"931","2900055J20Rik",7,5,2,7,5,12,10,0
"932","2900060B14Rik",9,3,3,7,8,6,4,1
"933","2900060N12Rik",20,17,14,13,25,12,13,0
"934","2900064F13Rik",0,1,0,0,5,4,1,0
"935","2900064K03Rik",17,3,23,9,15,14,15,3
"936","2900069G24Rik",0,0,0,0,0,0,0,0
"937","2900072N19Rik",1,1,11,4,18,8,8,8
"938","2900076A07Rik",249,151,134,201,165,193,135,146
"939","2900076G11Rik",0,0,0,3,1,0,0,1
"940","2900078I11Rik",2,0,4,14,2,3,5,1
"941","2900079G21Rik",7,10,17,15,21,18,13,9
"942","2900089D17Rik",20,8,5,3,30,7,22,18
"943","2900092C05Rik",0,1,11,2,4,6,5,1
"944","2900092N22Rik",11,10,16,16,13,26,8,11
"945","2900092O11Rik",5,2,6,2,3,3,0,0
"946","2900093K20Rik",1,11,14,5,3,6,2,8
"947","2900097C17Rik",5597,4934,4988,6261,4857,4835,5114,3501
"948","3000002C10Rik",19,31,26,30,38,39,21,7
"949","3010001F23Rik",6,7,0,8,6,0,2,0
"950","3010003L21Rik",2,0,4,9,2,5,1,2
"951","3100002H09Rik",9,1,4,6,4,12,0,1
"952","3100003L05Rik",0,1,1,6,5,5,16,0
"953","3110001I22Rik",22,8,21,9,8,18,15,8
"954","3110004A20Rik",3,2,6,10,1,5,8,5
"955","3110006O06Rik",9,3,15,6,11,11,2,3
"956","3110009E18Rik",3,13,9,12,17,15,3,11
"957","3110009F21Rik",8,3,3,0,9,2,0,2
"958","3110009M11Rik",1,0,2,0,8,3,0,0
"959","3110015C05Rik",0,0,5,3,2,5,8,6
"960","3110018I06Rik",0,0,0,0,0,0,0,0
"961","3110021N24Rik",4,3,15,12,16,6,8,1
"962","3110031N09Rik",0,0,3,0,1,4,3,0
"963","3110039I08Rik",205,164,181,248,270,334,214,83
"964","3110039M20Rik",12,3,0,6,2,9,1,0
"965","3110040M04Rik",0,0,0,0,1,1,0,1
"966","3110040N11Rik",98,83,71,56,91,62,79,68
"967","3110043J17Rik",0,0,0,1,0,1,3,0
"968","3110045C21Rik",9,6,15,19,14,11,21,14
"969","3110053B16Rik",14,8,5,7,29,11,11,9
"970","3110056K07Rik",39,75,57,33,48,56,25,39
"971","3110062G12Rik",3,2,11,13,19,13,5,3
"972","3110067C02Rik",2,10,1,4,10,12,8,5
"973","3110070M22Rik",13,10,4,3,26,14,12,5
"974","3110080E11Rik",19,19,32,18,45,16,19,8
"975","3110080O07Rik",4,9,19,13,10,2,7,3
"976","3110082I17Rik",66,64,47,52,44,37,75,46
"977","3110082J24Rik",8,5,5,0,7,7,0,0
"978","3110083C13Rik",3,0,4,5,11,4,6,0
"979","3110099E03Rik",3,4,14,6,7,8,4,5
"980","3200001D21Rik",2,7,5,7,19,21,9,8
"981","3222401L13Rik",74,65,67,109,62,66,69,68
"982","3300002A11Rik",3,5,12,10,6,1,4,2
"983","3300002I08Rik",39,16,26,31,24,29,23,11
